transaction,customer,credit_card_type,credit_card,product,ip_address,amount,date
38,38,jcb,3536713552365533,Chips Potato Swt Chilli Sour,153.205.119.53,114.86,2020-03-19
39,39,jcb,3533215928304827,Cocoa Feuilletine,185.5.50.100,410.87,2020-08-20
40,40,mastercard,5436046060601503,Foam Tray S2,92.124.160.53,293.82,2020-07-14
41,41,jcb,3534254388187447,Cheese - Le Cru Du Clocher,109.240.117.104,917.79,2020-06-17
42,42,visa,4808837460977300,Soup - Campbells Chili Veg,94.180.141.187,423.18,2020-06-10
43,43,diners-club-us-ca,5546452080600144,"Cheese - Brie,danish",233.26.59.51,402.41,2020-05-31
44,44,maestro,5038098223176529,Table Cloth 53x69 White,167.254.188.118,923.43,2020-04-12
45,45,jcb,3549232575205027,"Radish - Black, Winter, Organic",116.232.116.240,371.67,2019-12-06
46,46,jcb,3568118244484158,Wine - Chateauneuf Du Pape,192.10.131.73,657.35,2020-10-01
47,47,jcb,3540517581506973,Cakes Assorted,154.220.60.197,750.30,2020-03-15
48,48,jcb,3567537428251326,Cilantro / Coriander - Fresh,175.228.27.186,503.04,2020-10-05
49,49,china-unionpay,56104311219120696,Cookies - Assorted,28.108.36.233,794.52,2020-09-04
50,50,jcb,3571060807428575,Tea - Black Currant,0.57.81.216,19.41,2020-08-15
51,51,jcb,3577840127123285,"Beans - Turtle, Black, Dry",88.106.254.243,756.81,2020-06-10
52,52,jcb,3562215100707940,Island Oasis - Strawberry,62.116.198.77,606.39,2020-01-09
53,53,jcb,3533376166134589,Fruit Salad Deluxe,97.155.178.232,742.93,2020-10-22
54,54,jcb,3558389185019129,Crackers Cheez It,247.141.173.223,502.84,2019-11-27
55,55,jcb,3581994381629281,"Split Peas - Green, Dry",51.90.41.198,44.74,2019-12-22
56,56,maestro,6304927452133287,Veal Inside - Provimi,116.139.163.87,412.58,2020-08-07
57,57,diners-club-carte-blanche,30015639782632,Appetizer - Tarragon Chicken,181.125.137.146,803.97,2020-07-20
58,58,jcb,3589385910340361,Monkfish Fresh - Skin Off,234.165.10.54,397.05,2020-06-29
59,59,bankcard,5602220021699181,Water - Aquafina Vitamin,78.15.130.159,764.03,2020-05-06
60,60,jcb,3545442934720103,Croissants Thaw And Serve,225.9.149.73,758.13,2020-05-20
61,61,mastercard,5588656221287376,Oil - Peanut,82.171.125.131,991.87,2020-03-05
62,62,jcb,3568302282207156,"Cheese - Woolwich Goat, Log",166.220.35.40,574.45,2020-03-20
63,63,jcb,3538677158101295,Cheese - Cambozola,62.174.108.229,207.21,2019-11-18
64,64,jcb,3559681166700647,Tomatoes - Hot House,55.74.172.104,536.97,2020-04-09
65,65,maestro,6304374258815520,Sage Ground Wiberg,163.229.21.198,671.97,2020-06-12
66,66,jcb,3585886819915579,Sage Derby,44.198.225.31,105.61,2020-08-14
67,67,maestro,67615091112568634,Sobe - Berry Energy,22.115.18.160,329.65,2020-10-30
68,68,laser,6304104250251337,"Pasta - Detalini, White, Fresh",118.148.254.197,736.12,2019-11-23
69,69,jcb,3576552538948835,Bar Bran Honey Nut,161.150.10.186,55.86,2020-04-20
70,70,diners-club-us-ca,5532293099932573,"Oil - Truffle, White",86.143.4.24,474.64,2020-03-16
71,71,diners-club-international,36676613653687,Sobe - Liz Blizz,53.130.144.66,761.77,2020-04-14
72,72,mastercard,5108758645853956,"Veal - Inside Round / Top, Lean",112.214.205.40,397.56,2020-05-26
73,73,bankcard,5602254165150578,"Bread - Rolls, Rye",130.29.214.0,77.69,2020-05-31
74,74,diners-club-enroute,201652559013128,Mustard - Dijon,84.135.236.49,22.14,2020-03-26
75,75,jcb,3534417614336613,Soup - Campbells Beef Stew,1.122.58.63,644.14,2020-07-30
76,76,jcb,3532516339227130,"Soda Water - Club Soda, 355 Ml",225.181.124.53,138.05,2020-09-02
77,77,jcb,3552707875803765,Wine - Alsace Riesling Reserve,149.216.201.134,853.30,2020-04-15
78,78,switch,564182599149921443,Water - Aquafina Vitamin,7.242.2.59,73.15,2020-02-08
79,79,jcb,3582686915470625,"Lamb - Pieces, Diced",28.226.131.218,283.79,2020-11-09
80,80,diners-club-us-ca,5410246240776577,Pail For Lid 1537,206.210.173.240,919.86,2020-03-29
81,81,jcb,3586775696260176,Jello - Assorted,156.116.34.43,329.21,2020-01-07
82,82,visa,4582724392298,Pastrami,146.136.156.77,79.35,2020-03-16
83,83,mastercard,5108755660092247,Syrup - Chocolate,241.110.229.98,115.06,2020-06-18
84,84,visa-electron,4405065148672336,Wine - Riesling Alsace Ac 2001,236.32.248.49,851.29,2020-09-02
85,85,maestro,50387887907099202,"Fish - Scallops, Cold Smoked",119.53.232.96,432.88,2020-09-19
86,86,bankcard,5602221122511739,Cucumber - English,40.24.241.253,640.25,2019-12-10
87,87,switch,490503828926126979,Chocolate - Unsweetened,189.106.161.13,356.63,2020-08-08
88,88,china-unionpay,56022180787989322,"Pasta - Penne Primavera, Single",206.117.47.137,395.94,2020-07-13
89,89,bankcard,5602250025777485,"Beef - Baby, Liver",95.154.220.126,462.92,2020-04-02
90,90,visa-electron,4405894543307846,"Lemonade - Kiwi, 591 Ml",50.138.204.156,301.24,2020-07-23
91,91,jcb,3548372487491983,Nantuket Peach Orange,30.200.100.193,426.79,2020-07-20
92,92,diners-club-carte-blanche,30448764301615,Food Colouring - Red,211.79.181.246,129.61,2020-04-29
93,93,jcb,3559929057249665,Wine - Magnotta - Pinot Gris Sr,106.48.10.213,130.42,2020-09-10
94,94,jcb,3549997390035029,Ecolab - Hobart Upr Prewash Arm,22.10.155.161,608.99,2020-08-11
95,95,switch,6333373353934801,Gingerale - Diet - Schweppes,147.215.51.84,945.06,2020-08-17
96,96,switch,633393367612081337,"Gin - Gilbeys London, Dry",127.65.53.14,60.77,2020-07-21
97,97,bankcard,5602215870637241,Beer - Mill St Organic,147.199.31.233,488.51,2020-02-24
98,98,switch,5641826850749526675,Pork - Inside,232.30.123.5,897.85,2020-06-16
99,99,china-unionpay,5602259021821605633,Wine - Penfolds Koonuga Hill,109.7.94.78,278.65,2019-12-11
100,100,jcb,3537511602503452,Bread - 10 Grain,108.66.72.232,666.92,2020-04-14
101,101,jcb,3556311023232112,Sprouts - China Rose,169.86.131.88,221.12,2020-10-13
102,102,jcb,3542888861069216,Milk - Condensed,95.146.164.203,352.04,2019-12-27
103,103,diners-club-carte-blanche,30378955160134,Chocolate Liqueur - Godet White,163.27.175.208,535.95,2020-08-21
104,104,laser,677139100643670141,Turkey Leg With Drum And Thigh,193.74.66.245,791.25,2020-05-18
105,105,mastercard,5417233491771120,Bread - Italian Roll With Herbs,119.236.39.51,159.03,2020-01-16
106,106,jcb,3530028102173451,Energy Drink,29.66.222.193,81.49,2019-12-23
107,107,mastercard,5311956293324287,Fork - Plastic,213.145.70.130,414.68,2020-05-09
108,108,jcb,3575568818509924,Wine - Gato Negro Cabernet,48.111.14.34,416.43,2020-07-02
109,109,jcb,3553333357164573,"Yogurt - Banana, 175 Gr",94.82.116.137,712.18,2020-03-11
110,110,visa-electron,4405410939076158,Cookie - Oreo 100x2,71.88.141.121,658.63,2020-10-13
111,111,jcb,3534449187997018,Cheese - Gorgonzola,95.113.200.11,727.58,2020-03-04
112,112,instapayment,6382927135623717,Energy Drink - Franks Original,110.54.255.68,145.33,2020-11-10
113,113,jcb,3580916979031167,Sprouts - Pea,97.67.218.137,862.57,2020-07-16
114,114,mastercard,5239920213444087,Wine - Champagne Brut Veuve,9.99.231.0,288.86,2020-03-22
115,115,jcb,3544064898997963,"Soup - Knorr, Chicken Gumbo",236.37.206.41,160.91,2020-03-06
116,116,mastercard,5010120772992080,"Oil - Truffle, White",219.99.21.52,743.91,2020-01-14
117,117,maestro,5020549482493153,Daves Island Stinger,209.180.124.124,234.15,2020-11-06
118,118,jcb,3538175818034857,Pasta - Canelloni,241.109.232.232,225.01,2020-05-16
119,119,switch,4911955476636068331,Muffin Mix - Morning Glory,162.221.246.161,486.17,2020-04-21
120,120,switch,4911370193673149,"Soup - Knorr, French Onion",2.130.118.234,106.53,2020-09-21
121,121,maestro,5893541594768283096,Munchies Honey Sweet Trail Mix,3.5.169.203,350.46,2020-09-01
122,122,jcb,3570878986131343,Cake - French Pear Tart,56.76.115.40,269.26,2020-04-17
123,123,jcb,3549159474328941,Gherkin,98.182.239.129,495.28,2019-12-14
124,124,mastercard,5048378536725529,Turkey Tenderloin Frozen,170.182.240.129,592.03,2020-02-29
125,125,switch,5641829987688690208,Chinese Foods - Pepper Beef,24.148.232.205,818.43,2019-11-22
126,126,visa-electron,4026898495819897,Spinach - Frozen,115.147.211.111,69.99,2019-12-23
127,127,americanexpress,374283376834800,"Bread - Crumbs, Bulk",147.25.127.171,107.66,2020-04-26
128,128,laser,6304285683580085,Spinach - Packaged,90.216.183.98,499.34,2020-07-15
129,129,jcb,3564811706466358,"Oranges - Navel, 72",91.158.29.165,996.50,2020-07-01
130,130,diners-club-carte-blanche,30143738362518,Halibut - Fletches,33.130.176.82,644.56,2020-05-24
131,131,jcb,3539046318666978,Onions - Pearl,211.131.192.123,213.23,2020-01-09
132,132,visa-electron,4917550314006691,Wine - Piper Heidsieck Brut,124.118.252.75,421.84,2020-02-29
133,133,maestro,630483952044144691,Crab - Soft Shell,198.249.128.136,922.94,2020-02-11
134,134,china-unionpay,560222755807264829,Beef Ground Medium,157.69.151.197,984.15,2020-09-19
135,135,visa-electron,4844267858826719,Sherry - Dry,37.54.178.134,529.21,2020-05-19
136,136,mastercard,5010123134590857,Pomello,214.249.157.116,360.11,2020-05-10
137,20,mastercard,5419954334772086,Mangoes,72.115.75.161,243.43,2019-12-07
138,138,bankcard,5610954390984556,"Crab - Dungeness, Whole, live",99.115.10.151,879.85,2020-08-23
139,139,diners-club-carte-blanche,30202993182100,Longos - Burritos,123.22.24.127,707.95,2019-12-20
140,140,americanexpress,374622530524981,Pork Loin Cutlets,219.249.241.14,695.82,2020-07-07
141,141,jcb,3533749428560835,Wonton Wrappers,8.95.216.208,740.92,2020-08-19
142,142,switch,6331104815814147,Soup Campbells Beef With Veg,26.194.154.254,426.51,2020-09-30
143,143,china-unionpay,5610737928754008954,"Crab - Blue, Frozen",152.168.190.60,651.78,2020-08-05
144,144,jcb,3537216438866681,Energy Drink Red Bull,223.242.57.138,673.35,2020-02-26
145,145,americanexpress,340246481845962,Wine - Crozes Hermitage E.,188.90.252.111,80.40,2020-01-10
146,146,jcb,3563874186327814,Snapple Lemon Tea,148.226.59.20,830.71,2020-10-20
147,147,jcb,3549277128436868,"Club Soda - Schweppes, 355 Ml",80.46.137.59,734.39,2020-02-16
148,148,mastercard,5007668747333546,Broom - Push,25.155.143.142,184.13,2020-08-27
149,149,visa,4041598036283,"Nut - Pistachio, Shelled",33.184.219.25,391.83,2020-11-07
150,150,diners-club-carte-blanche,30339709875732,"Turkey - Whole, Fresh",124.10.161.212,714.74,2020-01-13
151,151,jcb,3547064625752571,Corn Syrup,173.0.243.212,56.61,2020-03-23
152,152,maestro,6759272214773686806,Cup - Paper 10oz 92959,178.20.153.133,890.88,2020-02-28
153,153,instapayment,6377943027415572,Pastry - Apple Large,89.166.14.209,641.16,2020-04-16
154,154,china-unionpay,560222290338869284,Spaghetti Squash,191.181.88.45,548.86,2020-10-13
155,155,visa-electron,4026824095675810,Eggs - Extra Large,247.0.247.58,609.00,2020-03-17
156,156,jcb,3559231075131300,Grapefruit - Pink,25.131.210.246,825.18,2019-12-23
157,157,jcb,3531802579217853,Soupfoamcont12oz 112con,35.185.117.130,755.51,2020-08-24
158,158,mastercard,5300932926578832,Icecream - Dibs,163.81.68.244,926.48,2020-07-25
159,159,solo,6767640151334086,Extract - Lemon,53.138.1.220,373.35,2020-11-12
160,160,jcb,3531278825786571,Beef - Ground Medium,234.156.240.161,867.55,2020-11-03
161,161,bankcard,5602256146066666,Dried Cherries,246.250.37.79,602.95,2020-08-30
162,162,americanexpress,340457237422085,Longos - Assorted Sandwich,143.198.202.18,526.65,2020-05-18
163,163,maestro,6304207822350360,Flour - Strong,183.118.111.208,737.31,2020-11-10
164,164,jcb,3552878088350173,Cinnamon Buns Sticky,171.64.236.56,794.57,2020-10-01
165,165,maestro,5893352146349024511,"Pasta - Fettuccine, Dry",141.226.18.25,386.99,2020-09-18
166,166,mastercard,5196024680753954,Steamers White,171.129.230.67,39.41,2020-09-01
167,167,visa,4017955975271,Lumpfish Black,101.64.217.9,749.93,2019-12-24
168,168,china-unionpay,561089564509711016,Port - 74 Brights,19.184.180.149,754.72,2020-04-06
169,169,jcb,3546086516706045,"Rum - Spiced, Captain Morgan",127.100.181.251,319.96,2020-08-27
170,170,jcb,3587311413905254,Garlic,107.178.129.106,241.01,2020-05-26
171,171,jcb,3551951596731233,Wine - Barbera Alba Doc 2001,30.233.248.247,256.08,2020-04-22
172,172,diners-club-enroute,201869854632085,Pear - Halves,159.126.128.97,679.57,2020-06-22
173,173,visa-electron,4917350434331032,Towels - Paper / Kraft,244.103.180.144,247.55,2020-04-15
174,174,diners-club-international,36567432194534,"Octopus - Baby, Cleaned",48.201.151.139,732.18,2020-07-11
175,175,jcb,3547379650258561,Anchovy In Oil,60.119.237.222,655.18,2020-06-16
176,176,americanexpress,342961453559684,Cheese - Bakers Cream Cheese,91.118.17.82,954.00,2020-01-02
177,177,jcb,3586273469188386,Coffee Caramel Biscotti,131.167.218.40,189.20,2020-09-19
178,178,jcb,3539646735491775,Laundry - Bag Cloth,240.68.103.166,123.32,2020-11-09
179,179,china-unionpay,5602248350905513486,Bread - Raisin,27.165.188.219,298.28,2020-04-07
180,180,visa,4041590713718198,Shrimp - 31/40,159.167.141.85,90.32,2020-10-29
181,181,americanexpress,374622013852370,Olives - Kalamata,173.58.21.120,407.27,2020-04-08
182,182,bankcard,5602219305332642,Muffin Hinge 117n,114.102.124.162,679.10,2019-11-28
183,183,jcb,3575835551282377,"Fish - Halibut, Cold Smoked",46.192.94.137,949.52,2019-12-18
184,184,visa,4399465049866,Hand Towel,180.254.233.77,569.20,2020-03-10
185,185,diners-club-carte-blanche,30439170456242,Honey - Comb,45.223.112.142,313.43,2020-01-13
186,186,china-unionpay,5602243552157189,Muffin Hinge - 211n,248.38.1.155,643.97,2020-08-30
187,187,jcb,3550251558200751,Tomato - Tricolor Cherry,144.236.187.204,883.22,2020-06-06
188,188,switch,5641829469145540,Water - Green Tea Refresher,201.105.128.67,262.54,2020-10-11
189,189,jcb,3573729428186873,"Cheese - Havarti, Salsa",59.183.89.109,704.96,2020-03-18
190,190,jcb,3580997377636682,Langers - Cranberry Cocktail,61.178.112.131,890.33,2020-01-15
191,191,instapayment,6371653505654636,Pastry - Lemon Danish - Mini,67.47.6.93,382.76,2020-10-15
192,192,jcb,3538708622623976,"Pasta - Linguini, Dry",106.214.134.209,533.31,2019-12-12
193,193,visa-electron,4026353650936771,Creme De Banane - Marie,116.92.129.141,264.60,2020-10-20
194,194,maestro,676174557829163795,Bread - Pumpernickel,14.98.63.197,273.63,2020-02-07
195,195,jcb,3557365094489422,Cocoa Powder - Natural,19.236.238.172,756.42,2020-08-24
196,196,china-unionpay,560222784772519827,Brandy - Bar,9.210.251.12,119.27,2020-05-22
197,197,bankcard,5602234487171916,Venison - Racks Frenched,44.212.208.175,161.31,2020-09-04
198,198,china-unionpay,56022391260567713,Wine - Gewurztraminer Pierre,181.41.255.30,516.97,2020-08-03
199,199,diners-club-carte-blanche,30323864200118,Cookies - Amaretto,112.147.138.42,733.80,2019-11-15
200,200,mastercard,5100174994898550,Beer - Camerons Cream Ale,133.176.175.206,216.17,2020-10-09
201,201,diners-club-carte-blanche,30586504551260,Cheese - Parmesan Cubes,86.213.144.112,125.51,2019-12-25
202,202,mastercard,5002351635274164,Cake - Box Window 10x10x2.5,66.64.20.76,973.62,2020-01-25
203,203,maestro,67627534478046089,Mustard - Pommery,204.41.151.185,995.53,2020-04-19
204,204,laser,670633919933099117,Lotus Rootlets - Canned,194.32.203.104,570.78,2020-04-16
205,205,jcb,3565110850852631,Syrup - Monin - Granny Smith,19.185.238.37,274.08,2020-06-07
206,206,jcb,3543515398186556,Oil - Sunflower,154.202.118.11,235.65,2020-10-08
207,207,diners-club-enroute,201750002105887,Beets - Pickled,48.94.106.7,685.04,2020-01-17
208,208,maestro,6761627659642835,Cheese - Mix,79.29.134.70,925.06,2019-12-16
209,209,jcb,3580214054362099,Lamb - Shoulder,106.150.160.178,803.44,2020-09-23
210,210,mastercard,5108750952930899,Petit Baguette,132.39.25.189,17.52,2020-10-11
211,211,bankcard,5602218531453206,Tea - Camomele,34.120.45.211,861.34,2020-07-25
212,212,jcb,3573218960909991,Wine - Sauvignon Blanc Oyster,116.44.106.14,201.65,2020-08-21
213,213,jcb,3587885886402006,Nutmeg - Ground,95.66.166.252,760.37,2020-07-17
214,214,diners-club-carte-blanche,30425951581431,Cinnamon - Ground,141.83.162.108,179.83,2020-01-09
215,215,laser,677161278898975703,Tomatoes Tear Drop Yellow,138.79.105.104,603.42,2020-03-09
216,216,jcb,3577607229659502,Muffin - Bran Ind Wrpd,93.20.139.121,101.10,2020-09-18
217,217,visa,4041595501354,Corn - On The Cob,91.196.24.254,674.89,2020-02-08
218,218,visa-electron,4175002132135085,"Beef - Ox Tail, Frozen",177.253.55.110,515.48,2020-09-26
219,219,maestro,06041088633345890,Energy Drink - Franks Original,206.97.10.99,361.89,2019-12-29
220,220,jcb,3564174677244449,Wine - Trimbach Pinot Blanc,192.132.251.154,619.43,2020-08-08
221,221,visa-electron,4175008729458335,Mustard - Pommery,40.94.93.39,853.92,2020-09-06
222,222,switch,6331107210325627,Beer - True North Strong Ale,133.164.159.113,656.14,2020-06-01
223,223,visa-electron,4913102744264393,Extract - Raspberry,142.59.36.214,502.08,2020-02-08
224,224,maestro,6763565480747518874,Wine - Masi Valpolocell,203.193.180.133,784.39,2020-07-01
225,225,maestro,6761180439141399025,Pork Ham Prager,36.128.161.120,778.29,2020-03-14
226,226,diners-club-carte-blanche,30103832125252,"Pasta - Lasagne, Fresh",62.238.81.98,418.63,2020-01-14
227,227,diners-club-carte-blanche,30554980891584,Soup - Campbells Bean Medley,234.63.120.140,577.54,2020-07-15
228,228,jcb,3589570432326929,"Beans - Long, Chinese",70.154.3.232,159.81,2020-10-12
229,229,jcb,3540052192291435,Apple - Granny Smith,204.118.156.249,376.69,2020-10-26
230,11,jcb,3565242486545980,Flour - Bread,188.106.120.31,874.39,2020-06-12
231,11,china-unionpay,5602242480200885069,Chocolate - Milk Coating,230.8.190.160,496.38,2020-05-25
232,232,jcb,3555018507179310,"Flour - Corn, Fine",41.83.252.179,332.98,2020-11-03
233,233,diners-club-enroute,201733404052394,Lemons,10.205.68.156,93.98,2019-12-04
234,234,visa,4041370118416,Pastry - Raisin Muffin - Mini,11.18.39.24,833.63,2020-08-08
235,235,jcb,3568893272476702,Eggplant Oriental,198.122.203.153,709.46,2019-12-09
236,236,diners-club-enroute,201414058100215,Gatorade - Xfactor Berry,189.34.253.241,274.39,2020-11-08
237,237,maestro,06042453253546293,Wine - Stoneliegh Sauvignon,139.213.87.61,811.42,2020-07-15
238,238,jcb,3589231421005384,"Nut - Chestnuts, Whole",142.239.114.131,247.06,2020-04-23
239,239,visa,4017959648949121,Beer - Mill St Organic,160.204.196.23,432.34,2020-02-12
240,240,jcb,3580639992920360,Table Cloth 120 Round White,145.214.246.204,163.75,2020-10-03
241,241,diners-club-carte-blanche,30591753264227,Clams - Canned,81.229.13.234,332.10,2020-08-07
242,242,americanexpress,372301271702203,Cookies Almond Hazelnut,30.120.227.191,389.11,2020-01-08
243,243,americanexpress,374396737311688,"Gingerale - Schweppes, 355 Ml",47.156.75.7,506.99,2019-12-13
244,244,jcb,3575139483148875,Extract - Lemon,173.177.55.127,37.48,2020-09-28
245,245,diners-club-enroute,201683499301372,Cheese - St. Andre,62.191.141.79,108.17,2020-04-10
246,246,jcb,3562166354856828,Absolut Citron,208.206.171.254,759.17,2020-09-01
247,247,instapayment,6384520750764995,Fenngreek Seed,128.111.111.148,876.00,2020-01-25
248,248,mastercard,5100134153922963,Sugar - Individual Portions,191.61.125.119,956.11,2020-08-29
249,249,switch,490309631857166436,Muffin Mix - Carrot,131.50.194.188,149.53,2020-11-09
250,250,maestro,630455174907513987,Glaze - Clear,185.15.41.156,414.80,2020-10-22
251,251,bankcard,5602226993461831,Chicken - Bones,106.249.64.16,369.00,2020-07-25
252,252,jcb,3583845231140549,"Shrimp - 16/20, Peeled Deviened",113.25.245.222,169.66,2020-03-28
253,253,visa-electron,4844393716095717,Lettuce - Spring Mix,5.225.93.207,909.74,2019-12-26
254,254,jcb,3545987218852923,Soup Campbells Beef With Veg,158.210.158.108,699.81,2019-12-03
255,255,bankcard,5610550710449625,Soup - Base Broth Beef,131.68.126.54,94.95,2020-04-23
256,256,visa-electron,4508734011056572,Glycerine,40.35.79.106,316.54,2020-11-05
257,257,jcb,3554575053663246,Bagels Poppyseed,108.150.46.150,389.10,2020-10-07
258,258,jcb,3541482330906199,Garbage Bags - Black,143.72.94.223,570.05,2020-03-18
259,259,diners-club-enroute,201442751177925,Bread Sour Rolls,238.206.150.124,711.77,2019-12-11
260,260,instapayment,6381292223872036,Corn Kernels - Frozen,183.236.226.42,411.10,2020-01-04
261,261,americanexpress,376272058226755,Mussels - Frozen,247.21.132.89,955.88,2020-07-31
262,262,diners-club-enroute,201441262205092,Potatoes - Idaho 100 Count,75.140.143.34,476.00,2020-04-22
263,263,jcb,3584218667868109,"Wine - Magnotta - Red, Baco",199.181.103.106,993.96,2020-01-11
264,264,jcb,3540424794828502,Appetizer - Shrimp Puff,108.128.132.147,950.72,2020-10-16
265,265,jcb,3539114495013941,Rabbit - Whole,255.174.78.225,112.28,2020-11-03
266,266,jcb,3578602351788871,Sauce - Fish 25 Ozf Bottle,118.79.249.178,589.68,2020-05-14
267,267,diners-club-carte-blanche,30462230114684,Lamb - Ground,241.222.247.167,448.61,2020-08-28
268,268,maestro,50201643228000674,Cheese - Cheddar With Claret,119.75.105.24,892.74,2020-05-16
269,269,jcb,3571799699059069,Steel Wool S.o.s,241.81.157.55,708.64,2020-05-16
270,270,maestro,58932612421223861,Mushroom - King Eryingii,182.66.217.37,166.24,2020-09-09
271,271,americanexpress,337941459114855,Pork - Liver,158.60.10.249,808.46,2020-08-11
272,272,jcb,3544800942340373,"Sauce - Soya, Light",173.106.229.197,345.43,2020-06-06
273,273,jcb,3557047415280116,Sprouts - Peppercress,190.5.200.49,29.84,2020-01-06
274,274,diners-club-carte-blanche,30056579942869,"Mushroom - Morels, Dry",254.244.246.121,602.20,2020-02-04
275,275,diners-club-carte-blanche,30442106763962,Pastry - Apple Muffins - Mini,167.218.207.43,35.75,2020-04-25
276,276,jcb,3562851028140648,Chocolate - White,167.28.145.147,135.06,2020-10-08
277,277,mastercard,5442856851143529,"Veal - Tenderloin, Untrimmed",180.67.245.98,84.49,2020-06-12
278,278,diners-club-carte-blanche,30550353823279,Lobster - Live,217.68.187.244,394.13,2020-10-20
279,279,switch,5641822485321047,Carbonated Water - Cherry,53.71.39.191,444.30,2020-09-20
280,280,mastercard,5192117297071689,Beef - Tender Tips,233.196.84.117,445.54,2020-06-26
281,281,maestro,6304666028944211,"Wine - Magnotta, Merlot Sr Vqa",155.171.72.172,109.70,2020-03-29
282,282,mastercard,5508973583908946,Tofu - Firm,78.243.46.37,586.86,2020-04-02
283,283,diners-club-carte-blanche,30194497785480,Pastry - Cherry Danish - Mini,116.200.20.184,915.49,2020-03-29
284,284,diners-club-carte-blanche,30586457949339,Taro Leaves,93.65.255.218,192.38,2020-06-26
285,285,instapayment,6399419315684389,"Potatoes - Purple, Organic",79.215.72.139,85.53,2020-09-26
286,286,switch,4905492568274419222,Seabream Whole Farmed,252.69.83.227,53.19,2020-05-31
287,287,visa-electron,4175007214918001,"Wine - Red, Gamay Noir",224.22.164.134,76.52,2020-07-03
288,288,jcb,3579269273706719,Wine - Piper Heidsieck Brut,177.48.114.186,508.58,2020-06-09
289,289,maestro,6304608939823203000,Chicken - Bones,240.166.89.199,545.60,2020-05-17
